id_produto,nome,tamanho,preco_varejo,preco_atacado,last_sync,dif_invertida
8114113,CALCINHA INFANTIL MALHA,GG,4.0,5.0,2026-03-08T22:02:08.380088+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,P,4.0,5.0,2026-03-08T22:02:08.380088+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,GG,4.0,5.0,2026-03-15T15:25:56.859951+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,M,4.0,5.0,2026-03-14T21:11:14.763197+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,M,4.0,5.0,2026-03-15T15:25:56.859951+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,GG,4.0,5.0,2026-03-14T21:11:14.763197+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,G,4.0,5.0,2026-03-08T22:02:08.380088+00:00,1.0
86521952,FIO DENTAL SECRETINHA PERSONALIZAVEL VERMELHO TALLYTA,ÚNICO,20.0,20.0,2026-03-03T18:26:48.910877+00:00,0.0
86521936,FIO DENTAL PERSONALIZAVEL PRETO BRILHA TALLYTA,ÚNICO,25.0,25.0,2026-03-03T18:26:48.910877+00:00,0.0
85292742,PILHA SM,ÚNICO,5.0,5.0,2026-03-03T18:26:48.910877+00:00,0.0
85043648,PEÇAS PROMOÇAO,ÚNICO,15.0,15.0,2026-03-03T18:26:48.910877+00:00,0.0
52519314,CAMISOLA DE BOTÃO MANGA,G,55.0,55.0,2026-03-08T22:02:23.20962+00:00,0.0
86521935,LETRAS METAL CALCINHA PERSONALIZAVEL TALLYTA,ÚNICO,3.5,3.5,2026-03-03T18:26:48.910877+00:00,0.0
85042514,PEÇAS PROMOÇAO,ÚNICO,10.0,10.0,2026-03-03T18:26:48.910877+00:00,0.0
85042483,PEÇAS PROMOÇAO,ÚNICO,25.0,25.0,2026-03-03T18:26:48.910877+00:00,0.0
30640495,SHORT TEXTURIZADO,G,15.65,15.65,2026-03-08T22:01:33.471974+00:00,0.0
30640715,TOP TEXTURIZADO,G,15.12,15.12,2026-03-08T22:01:33.471974+00:00,0.0
